"","message","likes_count","comments_count","shares_count"
"284","a student who stole mobile phones from six girls handbags in nightclubs was sent back to nigeria by his parents for a while so that he would come to appreciate the advantages he had been enjoying while growing up here in ireland.",259,41,24
"285","75 new jobs are in the pipeline for galway, with the establishment of a new business service centre by a californian company in the city.",41,6,8
"287","an bord pleanla has rejected a proposal for more than 110 homes on a site in bearna under new fast-track planning legislation  telling the developer there should be up to 200 homes on the site.",39,11,9
"288","a man was rescued by the rnli after a dinghy capsized on galway bay this afternoon.",46,0,8
"289","galway is to become a regional centre for the treatment of bulimia and anorexia.",221,17,23
"290","the chief executive of galway city council has strongly dismissed any rumours that a bus corridor will be built through merlin woods.",19,5,5
"291","members of nuig/gmit subaqua club at the galway atlantaquaria in salthill during their 30-hour fundraiser dive for galway lifeboat station. (video: joe oshaughnessy)",103,14,45
"292","the vast majority of official complaints made about galway taxis and hackneys last year related to overcharging, routes taken, rude drivers and queue skipping.",58,31,12
"293","photobombed in carraroe. look closely! (photo: cathy gill)",493,57,70
"294","the prospects of a luas-type tram system being provided in galway city have been derailed  the national transport authority has described it as a highly inefficient solution to the citys notorious traffic woes.",85,49,15
"295","galway city council is in the process of appointing a vacant homes officer who will oversee empty properties being brought back into the housing stock.",24,2,1
"304","congratulations to damian browne, who has just completed his 4,800km solo atlantic row challenge!",157,2,9
"305","it reads like a storyline from a marian keyes novel: a nurse from dunmore meets a norwegian dairy farmer on a sun holiday in the canary islands. they fall in love, marry, settle down on a tiny island in norway and have five children, one of whom goes on to represent ireland at the winter olympic games in south korea.",523,38,94
"307","work has begun this week on an extra turning left lane from parkmore west allowing traffic heading for the tuam road to bypass those queuing for the briarhill side.",47,13,9
"319"," more than 700 homes and businesses in tuam are without power tonight. esb networks expect service will be restored by around 11.30pm.",33,22,8
"320"," valentines 

claddagh swans photographed last year by cathy gill.",182,3,20
"321","the front page of this weeks connacht tribune. in shops from early thursday morning or to buy online at:

http://connachttribune.ie/digital-editions",27,1,4
"322","gardai conducted a forensic investigation in gort this morning after a pedestrian was knocked down and seriously injured last evening.",11,5,4
"323","update: **competition closed**

congratulations to the winner, louise fallon, we've messaged you.

 love is in the air giveaway 
 
we have a fantastic giveaway for all you romantic couples out there.
win a bunch of red roses & bottle of champagne 

to be in with a chance to win this prize, simply like and share this post.

the winner will be picked at 2pm today, and you can pick the prize up at the connacht tribune reception on market street. you must be over 18 and provide id. 
 
happy valentine's day",306,187,278
"324","over 9 million in new business secured by galway convention bureau 
galway convention bureau is a member led non-profit organisation, whose mission is to sell galway as a destination for international mice business (meeting, incentive, conference, events). the vision is to build a sustainable mice sector, contributing significantly to the galway economy, working in cooperation and providing service excellence to the market. 
the convention bureaus status was secured with the backing of filte ireland, shannon airport, galway city and county councils, the western development commission and trade memberships. along with the support of the galway branch of the ihf. 
the convention bureaus membership consists of venues, hotels, retailers, transport, restaurants, pubs, activities, attractions and airports. those wishing further information on the bureau can email: info@galwayconventionbureau.com or call 091 33 99 20.
front row l-r: ciara gallagher, failte ireland; darragh oconnor, chairperson, galway convention bureau; rose finn, manager, galway convention bureau. back row, standing: eveanna rya, connacht hospitality; brian barrett, galway county council;  ann duggan, nui galway; andrew murphy, shannon airport; paul mockler, failte ireland.",25,1,12
"325","the queue for #donegaltuesday at 10am",218,91,33
"326","the queue for #donegaltuesday on eyre street in galway at 9.30am, where it is currently 0c (photo: enda cunningham)",1012,338,78
"327","hes known across the county as one of galways highest profile auctioneers  but few know that before all that, martin tyrrell had another life down under, when he provided armed security for two prime ministers.",48,5,2
"328","a man returned to his isolated house in south galway to find two intoxicated burglars asleep in his bed, a court heard.",85,12,24
"329","incidents of stealing from cars and vans rocketed by 250% in the first month of the year, the latest crime figures show.",34,8,23
"330","if youre heading to pearse stadium, remember to park legally, as cars will be ticketed for parking on footpaths, yellow lines etc and may be towed if blocking access. garda are not obliged to place a ticket on your windscreen, you may get a fine in the post in the coming weeks.",27,6,3
"331","its snowing in salthill at the moment, but both games will go ahead in pearse stadium following a pitch inspection this morning. gaillimh ab!",70,6,15
"332","more than 2,000 people  including president michael d higgins  are set to attend the installation of bishop brendan kelly as bishop of galway and kilmacduagh today.",79,16,10
"333","bus ireann is investigating another allegation of racist behaviour by one of its drivers in galway.",42,22,18
"334","the city council has issued traffic advice ahead of two major events taking place in the city tomorrow (sunday).",35,20,25
"335","the story of orphan girls of mountbellew workhouse who travelled to western australia has long been forgotten. stephen corrigan meets paula kennedy who has been working to link their families in australia with their ancestral home.",137,9,45
"336","the cash-strapped galway-mayo institute of technology (gmit) is in talks with the department of education about buying crowley park from galwegians rfc.",65,25,13
"337","a pensioner was hospitalised after falling on a crumbling city footpath  and six days after it was reported, galway city council still hadnt carried out repairs.",54,29,23
"338","gary thornton was in seventh heaven this week. the city athlete ran seven marathons, on seven continents, over seven days  and won all seven races.",493,24,39
"339","consultants are scheduled to be appointed over the coming months to draw up the blueprint for a comprehensive flood defence scheme for key areas of the city.",24,7,3
"350","bradley bytes  the stick with which hardcore sinn fin members used to beat their representative in galway west, trevor  clochartaigh, with, was that he wasnt a true shinner.",4,3,1
"351","the front page of this weeks galway city tribune. in shops from early friday morning or to buy online at:

http://connachttribune.ie/digital-editions",16,2,4
"369","the front page of this weeks connacht tribune. in shops from early thursday morning or to buy online at:

http://connachttribune.ie/digital-editions",145,16,10
"370","the connacht tribune are recruiting:",8,5,5
"371","a syndicate of 18 staff members at the portiuncula hospital medical records office has scooped a lotto prize of 500,000.",878,114,41
"372","the man who died following a crash in loughrea town yesterday has been named locally. rip.",22,7,3
"373","a pensioner has died after his car collided with a steel barrier in loughrea this morning.",39,30,31
"374","plans to build 400 student beds on the site of the westwood hotel have stalled  with the hotel now set to remain in operation until at least september.",137,18,16
"375","planners have refused permission for a pop-up restaurant to be set up in steel shipping containers on a vacant city centre site  similar to those in the southbank centre in london.",26,46,6
"376","two students were assaulted by a group of up to ten people as they walked away from supermacs in eyre square late one night, a court has heard.",152,42,40
"377","senator trevor  clochartaigh has been appointed communications manager with tg4, which means hes set to resign his position in the seanad.",26,6,5
"378","baboro international arts festival for children, in association with galway community circus
had a flash mob performance by children in the eyre square shopping centre on sunday to mark the final day of wide eyes, the one-off european arts extravaganza for children aged up to 6 years. (video: joe oshaughnessy)",46,3,18
"379","just announced ... example, aslan, keywestofficial and chasing abbey are joining ub40 featuring ali astro and mickey and rudimental at fever pitch music festival at galway airport this june bank holiday weekend. tickets go on sale through eventbrite this thursday at 2pm. 39.50 (plus booking fee) for a day ticket and 69.50 (plus booking fee) for 2-day ticket.",717,440,123
"380","a glorious sunset this evening, captured from salthill prom by cathy gill.",476,6,53
"381","works are to commence next week on a controversial development in tuam that includes the demolition of a number of traveller houses and provision of an 8 million regeneration in its place.",57,22,32
"382","garda have warned householders to be wary of cold callers offering to do building work on their homes  after a city woman was duped out of 3,000 by two conmen.",40,10,46
"383","tuams superloo  dubbed the towns cut-price love nest because its used by canoodling couples  could be an early st valentines day present for oranmore.",44,45,15
"384","a meeting of galway county council has heard that parts of the county, particularly in south galway, are on high alert because of rising flood waters.",21,0,4
"385","the barista bus, a new addition to salthill prom, opposite blackrock!",732,64,30
"386","the delivery of almost 1,000 new social houses in the county by 2021 is achievable, galway county council has insisted.",30,12,5
"387","the countys local roads will be resurfaced once every 60 years if the current rate of repair continues. there are 1,400 kilometres of local roads throughout the county galway but just 30 kilometres were repaired in 2017, according to councillor joe byrne (fg).",32,15,20
"388","galway airport is set to play host the two-day fever pitch music festival this summer, with chart-toppers ub40 and rudimental already signed up as headline acts.",908,348,143
"389","opw minister kevin boxer moran has announced 9million in funding for flood defence works in galway city.",98,14,15
"401","former mayor of galway city and well-known businessman noel larkin has hit out at irelands paye taxation and social welfare system  and its blatant misuse by people who do not want to work and non-nationals.",252,57,53
"402","a paedophile, with a fetish for school girls in uniform, used threats of violence and blackmail to sexually abuse one such schoolgirl over a two-year period.",29,9,10
"417","the county cannot separate from the city council to progress a bus corridor along the tuam road, was the message from director of services, jim cullen at a meeting of the county council this week.",12,0,1
"418","galway city council officials have warned that the draft national planning framework  which sets out planning and investment strategy up to 2040  has fallen short of securing the citys position as a driver of national growth",4,0,0
"419","for over 40 years, frankie gavin has been at the forefront of irish traditional music  and this week that career turns full circle with the reunion of the group that first made him famous.",70,8,26
"420","11am monday: updated list from galway county council of roads closed due to flooding: 

gort cloonanearla
gort newtown (new line) l 4519 
gort carrowbaun l 8528 
tuam polleagh north l 6247 
gort newhall, gort l85251 
gort owenbristy (sheehan cross to keamsellagh) l4506 
gort crannagh l8552 
gort hawkhill road l4510 
gort ballynastaig l4510 
gort caherawoneen north l8554 
athenry/oranmore carheenlea-coolarn caherateemore road l3105 
gort loughaunawadda l4511",23,6,20
"422","kodaline will play the festival big top as part of galway international arts festival 2018 on thursday 19 july. tickets for kodaline go on sale this friday (february 2), priced at 47.50, from www.giaf.ie and roisindubh.net.",619,455,44
"423","gardai are hoping the power of social media will help them to identity a man whose body was discovered in barna more than three years ago.",67,11,351
"426","a 22-year-old man pleaded guilty moments before his trial was due to begin at galway circuit criminal court this week to having sex with an underage girl.",20,11,27
"427","help to bring the remains of david and alex home.

on saturday, 20th january, nui galway student david higgins, of tralee, and alex mcgourty of calry, co sligo, lost their lives whilst kayaking the abianco river, in the macas region, ecuador. 

kayaking was david and alex's passion, and they spent their lives travelling and dreaming of challenges and experiences. meeting new people and spreading a zest for life with everyone who was lucky to meet them.

they were  vibrant, kind souls who lived life to its full potential, and words cannot describe what they meant to their family and friends.

now, it's time to bring them home one last time. to help david's and alex's family do this, their friends have set up a gofundme page to gather funds to support their journey. 

any help is appreciated, no matter how small.",52,4,27
"428","there were 219 people homeless in galway for christmas week including 130 children, with the situation here getting significantly worse in the past year, according to the latest figures released.",32,12,31
"429","ballinasloe is braced for possible rising flood waters  after erecting an elaborate inflatable flood defence near the town centre.",90,18,36
"430","one of the best-known and most influential members of galways business community  breda ryan  has died. rip.",252,83,53
"458","connacht rugby captain, john muldoon (35), has announced his retirement at the end of this season. the portumna native, pictured with his niece emma muldoon on the occasion of his 300th appearance for the province last april, has spent 17 years with his native province, and captained connacht to the pro12 title in 2016. he was also capped three times for ireland.",383,32,30
"459","#stormgeorgina status orange warning:
there is also a status yellow rain warning in place for galway.",78,66,49
"460","the body of a galway resident, who went missing after a kayaking accident in ecuador last weekend, has been recovered.",41,8,4
"461","three men have been remanded in custody following an armed robbery in caherlistrane on friday night.",80,18,13
"462","mars ireland recalls batch of galaxy milk bars and maltesers fun size bags due to possible presence of salmonella.",57,58,146
"463","update from garda: francis has been located safe and well. 

 missing person please share

garda are seeking the public's help in tracing francis kavanagh, 61, who is missing from his home at sruthan mhuirlinne, ballybane in galway since last thursday (january 18).
he is described as 6' 2'', of medium build with short grey hair and blue eyes. it is not known what he was wearing when he went missing. francis is believed to be using a black bmw 07 so 2426.
anyone with information is asked to contact galway garda station on 091 538000 or any garda station.",216,25,873
"464","motorists are being warned to exercise caution as roads across galway are flooded following heavy overnight rainfall.",41,7,30
"494","update from galway city council:
as a precaution, due to predicted high waves, seapoint promenade at salthill (from grattan rd. to darcy roundabout) and silverstrand beach will be closed from 4pm today (wednesday)

one status yellow wind warning issued by met ireann today at 10.44am and valid until 3am on thursday 18th applies to galway (connacht) and states that a fast moving atlantic depression will cross ireland this evening and early tonight bringing winds of 50 to 65km/h and gusts of 90 to 110km/h to many counties and that there is an increased risk of coastal flooding due to the combination of the high seas, strong winds and the low pressure.
 
opw storm surge forecast and met ireann wave charts were assessed for high tide levels and wave heights by galway city council. 
 
galway city council will continue to monitor the weather over the coming days.",34,5,13
"495","power has been restored to almost 1,000 homes in the county, as met ireann warns that another storm is on the way.",17,0,6
"496","a gust of 126km/h has been recorded at mace head in the past hour.",65,9,18
"497","an award-winning loughrea milliner is sharing her skills and passing on the craft through workshops for transition year students across the county.",10,0,4
"498","4.30pm #stormfionn update from galway city council.

seapoint promenade has been closed from grattan rd. to the darcy roundabout as a precautionary measure. 

as of today, 2 status yellow and 1 status orange weather warnings issued by met ireann apply to galway:
 
1.       a status yellow weather advisory issued at 1pm on monday 15th jan. 18 (which specifically refers to galway in counties listed).  it states to: high or very high seas that are going to affect the atlantic seaboard over the next few days, leading to an increased risk of coastal flooding.
2.       a status yellow snow-ice warning for ireland was issued at 4.47pm on monday 15th jan. 18 it states that snow showers will affect ulster and connacht from monday night. this warning is valid until 3am wednesday. 
3.       a status orange wind warning issued at 10am on tuesday 16th jan18 (which again specifically refers to galway in counties listed). it states  this evening and for a time tonight, storm fionn will bring very strong westerly winds to atlantic coastal counties with mean wind speeds of 65 to 80 km/h and gusts of up to 120 km/hr, strongest near coasts with a risk of flooding. 
 
the opw storm surge forecast was checked at 3pm on tuesday 16th jan. 18 and it indicates that high tides will not exceed 5.0 m c.d. in the coming days and therefore below the critical level of 5.6m.
 
galway city council will continue to monitor the weather over the coming days and review our response as appropriate.",76,11,32
"499","galway masters (age 39+) are recruiting footballers for 2018. sign up for the 11 a side league in february and meet the lads. 90% of the panel have never played inter-county before, and are current or retired junior, intermediate or senior players. all footballers are welcome. you can be from any county.
masters football is fun, social and competitive. they usually train monday nights, at loughgeorge, claregalway.
there are rolling substitutes in masters gaelic football, so you do not need to play a full match.
contact chairman pat cullinane for more on 087 7727063.",20,20,7
"500"," #stormfionn
status orange wind warning for donegal, galway, leitrim, mayo, sligo, clare, cork and kerry
this evening and for a time tonight, storm fionn will bring very strong westerly winds to atlantic coastal counties with mean wind speeds of 65 to 80 km/h and gusts of up to 120 km/hr, strongest near coasts with a risk of flooding.
warning in place from 3pm tuesday to 3am wednesday.",206,102,117
"501","coach tour operators claim galway is losing out on visitors and tourism income because of poor facilities in the city, and traffic congestion.",83,15,22
"502","dead insects, flies, dirt, grime and mould  which all posed a risk of contamination to food  led to the enforced closure of the kitchen of tigh giblin restaurant in spiddal for three days last month.",88,135,83
"503","connacht rugby players and management were involved in an emergency plane landing at belfast international airport this afternoon.",94,34,28
"504","gardai have appealed for witnesses following a robbery at a bookmakers in moycullen.",51,40,19
"505","an oranmore man has died after being washed into the sea off the coast of county clare. rip.",39,27,10
"506","more than 1,000 new jobs were created by enterprise ireland in galway last year  a record new high for the agency.",24,0,5
"507","a man who placed a camera phone underneath a cubicle at a leisure centre in tuam where an eleven-year-old was undressing handed over 500 in compensation to the victims family at the local court.",36,103,61
"508","two people were hospitalised following a crash on the n17 this afternoon.",19,3,5
"509","a young man has been taken to uhg following a crash near tuam.",18,5,6
"510","the health service has closed a ward at university hospital galway to admissions due to a number of identified flu cases, and infection control measures have been implemented.",74,25,112
"511","met ireann has warned of rainfall totalling up to 40mm by midday on saturday, which will lead to flooding in places.",39,8,29
"512","brilliant news for lily-mae and family!",402,18,1
"515","the planning process for the most radical overhaul of traffic and transport in the history of the city is to be completed this year with the cheque waiting to be written from the start of next year for the work to start, it was revealed this week.",102,28,32
"525","the front page of this weeks galway city tribune. in shops from early friday morning or to buy online at:

http://connachttribune.ie/digital-editions",18,4,2
"526","emergency services are at the railway tracks near rosshill just outside the city, where the body of a man has been recovered. rip.

as a result, all services to and from galway will be significantly delayed.",67,38,68
"543","beautiful morning in galway (photo: cathy gill)",482,10,43
"544","the connacht tribune is seeking a 
business development executive",10,1,19
"546","chief superintendent tom curley has expressed concern about the increased incidence of heroin use in the west over the past year or so. he said that gardai in the galway city area were coming across a greater use of heroin among drug addicts and this was always something to be wary of from a crime point of view.",38,24,10
"547","the claddagh residents association will host a special demonstration tonight on flood barrier gates.",64,8,10
"548","there are now 108 community text alert schemes spread across co. galway  and according to a senior garda they are playing key roles in helping to prevent a range of crimes being committed  and especially so in more rural areas.",54,3,10
"549","ice-skating gulls ... a frozen gaol river beside galway cathedral this morning (photos: cathy gill)",228,5,18
"550","while retailers across galway are generally optimistic about the year just gone  and with hopes high that 2018 will improve  online sales and brexit uncertainty continue to challenge the sector.",1,1,1
"551","update: owner found.

an iphone 5 on the vodafone network was found in the terryland area today. if its yours, or you know who owns it, ring the number now. if unclaimed, it will be dropped into mill street garda station tomorrow.",37,6,58
"552","six people lost their lives on galways roads in 2017, down from ten the previous year, according to the road safety authoritys end-of-year report. in fact, the number of deaths recorded on the city and countys roads is a fraction of the average recorded last decade.",29,4,2
"553","met ireann has issued a status orange warning, as temperatures are set to drop to -6.",152,76,111
"554","there is not a hope of the housing crisis being solved within the next two years, according to a government minister of state.",8,2,2
"555","he may have earned over 40m last year but that did not stop golfer rory mcilroy from hitting the january sales in galway. the four-time major winner was spotted in brown thomas with his wife erica stoll last saturday.",295,61,25
"556"," its already -1c in galway, with frost forming on roads. temperatures are expected to dip to -5c overnight, with patches of freezing fog expected, as well as a heavy frost. there is a status yellow low temperature warning in place until midday sunday. expect poor road conditions in places.",171,43,81
"557","the ida is facing fierce competition to attract foreign direct investment to the west of ireland  but the presence of global giants here acts as a top reference for galway. and with hundreds of jobs created by ida-supported companies in galway during 2017, the number of site visits here by potential investors is on the rise.",43,10,5
"558","asking prices for houses in galway city have jumped by a whopping 70%  and by more than 45% in the county  since the property market bottomed out, according to new research.",19,2,15
"559","the safety features of the vehicles have had the biggest impact on road mortality  and expanding on that could prevent even more deaths in the future. thats what fianna fil deputy eamon  civ told the dil recently, as he pointed to the positive effect of crumple zones, seat belts and airbags  all of which have meant that people survive accidents they would not have survived 30 or 40 years ago.",21,4,2
"560","a masterplan for the development of terryland forest park is set to be drawn up this year  with a similar plan due for merlin woods in 2019.",26,2,3
"561","a permanent flood defence structure for the city and salthill  along with a better early warning system  has been called for in the wake of tuesdays storm eleanor flood disaster.",85,15,10
"562","inside the cabin of damian brownes traditional shaped rowing boat hull, above where he sleeps, is a poem that includes the line: my head is bloodied but unbowed. how very apt.",83,1,8
"563","the grand unveiling of a new proposal for a radical shake-up of the citys transport network has been deferred to allow negotiations with landowners and other interested parties to be finalised.",25,20,4
"570","the front page of this weeks galway city tribune. in shops from early friday morning or to buy online at:

http://connachttribune.ie/digital-editions
#stormeleanor",22,2,16
"588","the front page of this weeks connacht tribune. in shops from early thursday morning or to buy online at:

http://connachttribune.ie/digital-editions
#stormeleanor",36,7,11
"589","galway city council has said the army, civil defence, garda and fire services will be on standby for high tide tomorrow morning (thursday).",48,11,9
"591","flashback ... flooding in galway in january 2014 (photos: joe o'shaughnessy)",35,2,9
"592","flashback ... flooding in galway city in january 2013 (photos: joe o'shaughnessy, connacht tribune)",36,9,5
"593","the more things change, the more they stay the same ... storm damage to salthill promenade 75 years ago (january 1943). council workmen repairing serious damage, which included a miniature cave at the ""toe"" of the wall caused by the fury of the waves. (photo from tribune archive)",41,1,11
"594","the chief executive of galway city council says the devastation of storm eleanor is unprecedented.",50,17,48
"595","high and dry ... this fishing boat at claddagh quay was left on dry land after the storm waters receded! (photo: brian mcgrath)",581,59,234
"596","dramatic footage of #stormeleanor flooding from salthill, fr griffin road and the spanish arch in galway. (video: joe oshaughnessy)",1953,1600,9356
"597","#stormeleanor flooding in galway city centre",38,4,21
"598","another status orange wind warning comes into effect for galway at 10pm tonight and remains in place until 2pm on wednesday. mean speeds of 65-80km/h are expected, and gusts of 110-130km/h, so there will be flooding. high tide is at 5.30am.",71,25,97
"599","more flooding footage from the west in galway city from this evening (video: enda cunningham) 
#stormeleanor",211,104,230
"600","the army has deployed 12 personnel and two vehicles from 1st battalion to galway to assist with flood defences.

#stormeleanor",213,48,55
"601","9pm update from galway city council:

as flood waters from earlier high tide recede, galway city council crews are out clearing gulleys & providing assistance locally in city centre and salthill.
a limited number of sandbags will be available for collection and deployment by members of the public  from the bus stop opposite jurys inn at fishmarket from c. 10pm in advance of the expected high tide at 6am. #stormeleanor #galway",65,20,50
"602","flooding at galway fire station and lower fairhill road (video: enda cunningham)",206,90,216
"603","salthill promenade at 6.50pm, more than an hour after high tide. (video: enda cunningham)",150,44,109
"604","at least six cars will be written off by the floods in toft carpark in salthill. it was closed by the city council this morning. (video: enda cunningham)
#stormeleanor",258,155,334
"605","flooding in the dominick street and munster avenue area of galway city this evening. (video: enda cunningham)
#stormeleanor",859,1239,1772
"606","mace head weather station (galway) has recorded a gust of 75 knots (around 139km/h) and winds of 53kts (98km/h).
#stormeleanor",120,27,65
"607","galway city council has closed toft carpark and the main promenade carpark in salthill due to potential overtopping from the sea during high tide this evening (5.30pm) and tomorrow morning,",45,5,23
"608","nightclubs, bars and other licensed premises must comply with strict smoking area regulations or they will not be granted special exemptions in future.",96,24,13
"609","happy new year ... the first morning of 2018 (photos: cathy gill)",471,12,37
"610","it was wetter in galway on christmas eve than anywhere else in the country  but that failed to dampen seasonal spending in the city, as shops reported a sales boom.",53,1,9
"611","the west looks set to be buffeted by a series of atlantic weather systems over the course of the new year  this follows on from galway being the wettest place in the country over the course of christmas eve.",144,32,74
"612","hundreds of people took part in the annual charity christmas day swim in blackrock today, including connacht rugby captain john muldoon. well done to all involved. (video: joe o'shaughnesy)
cope galway galway 2020 european capital of culture",601,53,215
"615","irelands pluckiest bird has pulled it off again  survived the oven at christmas! the life expectancy of your typical turkey is under a year, but trixie the turkey is now looking forward to living through her fifth christmas.",7,0,0
"618","national and international property developers have shown an interest in the 10-acre galwegians rfc site on the dublin road.",34,5,4
"619","getting into the spirit of things (video: joe o'shaughnessy)",111,5,50
"623","children having fun in the snow in the rahoon area in galway today (video: joe o'shaughnessy) .",426,36,72
"624","the doorhy snow family in loughrea (photo: maureen doorhy)",174,14,19
"625"," road safety message from an garda sochna ahead of the heavy snow forecast for tonight:",215,39,75
"627","bradley bytes: anyone in public life who is on twitter knows the drill well. the little red bubble comes up on a politicians phone indicating a notification on twitter. he or she opens the app to find theyve been tagged in an in-depth (in so much as twitter can be in-depth) analysis of the latest grievances of cosain, a self-appointed local road safety group headed by simon comer, and galway cycling campaign, fronted by shane foran.",3,0,0
"628","the front page of this weeks galway city tribune. in shops from early friday morning or to buy online at:

http://connachttribune.ie/digital-editions",18,2,2
"632","the chief superintendent of galway garda division said he has personally reviewed more than 100 recordings relating to breath tests in the division.",3,0,1
"633","singing by candlelight, refreshments, including mulled wine, festive hot tea, christmas cookies, brownies and westend sausage rolls were provided at the official switching on of galway's westend christmas lights at the small crane.(video: joe o'shaughnessy)",121,5,35
"634","liam mellows supporters making their way along salthill prom to pearse stadium, hoping to end the 47-year-wait.",347,27,41
"635","galway county councillor, gabe cronnelly, has resigned from sinn fin due to ongoing unrest around the way the party is dealing with unethical behaviour.",43,5,4
"636","an infrared camera will be a permanent fixture at the mouth of the river corrib to help save lives and recover bodies.",545,27,66
"639","galway-based senator trevor  clochartaigh has announced his resignation from sinn fin due to inaction by the party in dealing with ongoing disciplinary issues locally and serious concerns over the future of the party in his constituency.",51,16,5
"640","winter sunset over salthill (photo: enda cunningham)",460,5,51
"642","the richard iii discovered exhibition from university of leicester. the event is hosted by nui galway as part of the 20th galway science & technology festival in collaboration with british council irelandl. the discovery of king richard iiis skeleton in 2012 has been a scientific detective story. the exhibit shows how science and technology was used to discover a body during an archaeological dig under a council car park in leicester which led to the identification through dna of king richard iiis skeleton. (video: joe o'shaughnessy)",28,3,6
"643","twenty jobs have been created at the new supermac's headford, which will be officially opened at a family funday event from 2-5pm this sunday.",237,28,19
"644","the unveiling of the replica of the pdraic  conaire statue with the backdrop of the christmas market at eyre square, as well as photos from our archive of sean phdraics colourful history in the square, city hall, museum and heading for dublin to be replicated. (video: joe oshaughnessy)",347,38,130
"645","the fisherman whose body was discovered at rinville in oranmore yesterday has been named locally.",58,51,27
"650","garda are trying to locate the driver of a car which was in collision with a boy in salthill this week.",37,7,17
"651","switching on the christmas lights in galway city. (video: joe o'shaughnessy)

galway 2020 european capital of culture galway city business association 56 central restaurant the latin quarter galway east village galway  woodquay galway",411,56,272
"652","more footage of the big wheel at galway christmas market, which got stuck with 20 passengers on board. emergency services attended the scene, and nobody was injured. (video: joe o'shaughnessy).",207,70,86
"653","the big wheel at the christmas market is stuck, with people on board. fire and rescue galway and garda are at the scene. (video: enda cunningham)

http://connachttribune.ie/fire-services-work-rescue-passengers-stuck-big-wheel-440/",914,999,922
"656","the queue outside the hole in the wall in galway this morning waiting to celebrate christmas day. (video: enda cunningham)",1575,805,209
"660","the m6 motorway has been closed in both directions since lunchtime, after a truck overturned and shed its load across the carriageways.",107,56,27
"662","a teenager has been given a four-month prison sentence for spitting at a garda like an animal.",129,42,31
"663","irish water says water supply has now been fully restored to all customers in galway city, where hundreds of homes and businesses were affected.",13,6,2
"664","training at the claddagh basin for wires crossed galway 2020, one of the anchor projects of galway 2020 european capital of culture, produced by galway community circus, which aims to train some 400 people in the art of funambulism (tight wire walking) over the coming years leading to a major world record spectacle of crossing the river corrib. wires crossed intends to highlight the importance of both physical and mental health by bringing this dynamic art form to all corners of europe. (video: joe o'shaughnessy)",395,46,201
"669","all the colour and magic of the 2017 macnas parade in galway captured through the lens of photographer joe o'shaughnessy.

galway 2020 european capital of culture the latin quarter galway nui galway bram stoker festival, dublin",494,50,563
"671","it's all go, as well as good humour, at the macnas workshop as the team prepare for their halloween parade, port na bpca (song of the spirits), which takes place through the city streets this sunday, october 29 starting from nui galway at 5.30pm. the following day, monday, their parade, memory song, will close the bram stoker festival, dublinl. (video: joe o'shaughnessy) 

galway 2020 european capital of culture the latin quarter galway galway chamber galway city business association an pucan busker brownes bar & kirbys restaurant the house hotel seven bar galway",107,21,78
"672","this mornings high tide in salthill and spanish arch, thankfully the gusts had died down, so there was only some over-topping of waves. if youre on the road this morning, watch out for spot flooding. (video: enda cunningham) 
#stormbrian",174,18,77
"673","after ex-hurricane ophelia, a bit of rain didnt deter the children from getting out and about. treat the family to a heart-warming weekend of magical fun for the final days of baboro international arts festival for children which runs until this sunday, october 22 around galway. see baboro.ie for more details. 

video: children in high street on their way in the rain and arriving at an taibhdhearc for ""what does red do on a thursday?"" by thalias kompagnos in germany. 

at galway city museum ireland children explore what kind of town theyd like to live in at the planning through time interactive installation with alison maccormaic. 

at nuns island theatre, children attend the colourful ""world images from theatre madam bach in denmark"". 

at galway arts centre on dominick street, pupils from inis mr attend exhibitions by maeve clancy. ""the moon belongs to everyone"" looks at journeys of child migrants and how to feel safe while moving through unknown spaces to a new home. (video: joe o'shaughnessy)
galway 2020 european capital of culture the latin quarter galway",57,3,16
"674","the aquadam in place for this evenings high tide. the next high tide  which is likely to lead to flooding  is around 6am. an orange weather warning is in place for winds up to 80km/h and gusts up to 130km/h. (video: enda cunningham)",115,18,33
"675","the army and galway city council crews deploying the water-filled aquadam at spanish arch this evening in preparation for #stormbrian. sand bags are being deployed by the army at locations around grattan and salthill. high tide is 6am, so biggest risk is between 5am and 7.30am. (video: enda cunningham)",487,62,180
"676","congratulations to hooked, galway recently named  georgina campbell's ireland seafood restaurant of the year  2018
pictured receiving their award are, left to right: nuisin and ali  jalivand, joint owners of hooked restaurant and alis fish, henry st. galway with georgina campbell.",170,16,21
"678","plans to provide a commercial development along with a bar and restaurant at the junction of the clybaun road and western distributor road have been refused by the higher planning authority.",21,12,0
"679","ex-hurricane #ophelia in salthill (video: joe o'shaughnessy)",145,17,109
"680","around 100 storm-related posts since we posted the first #ophelia warning for galway on saturday lunchtime. thank you to all the agencies for their co-operation in providing official information to us, and to our facebook community for sharing photos, videos and information to help keep people safe. 
spare a thought for the esb crews who will be working around the clock in atrocious conditions to restore power to 330,000 customers around the country, including around 7,000 in galway, and to emergency and local authority workers who are on duty through the night attempting to get roads reopened.
and rip to those who lost their lives today.",319,5,11
