"","keyword","Posts","Popularity","likes","comments","shares"
"96","nationwide","bcs sales recruitment brings jobs expo ireland, irelands largest careers fair back to galway on february 24th. 
they will be accompanied by an eclectic range of successful companies that will be recruiting for local, nationwide and global positions. 
the free event will take place at the galmont hotel & spa between 10am  4pm.
here is a little taste of what to expect, taken from last years event.",21,8,10,3
"97","defence","well done to the members of galway civil defence who have been working tirelessly over the past few days supporting the ambulance service and involved with local nurses getting them safely to and from house calls all over the county.",234,205,16,13
"98","defence","statement from health minister simon harris:

i want to pay tribute today to our outstanding health service staff all over the country for their incredible dedication and commitment.

they are going to huge efforts to keep vital services open and ensure patients are looked after in very difficult conditions. from across ireland i have heard stories today of health care workers walking to work, staying past their shifts, sleeping in hospitals overnight, and going above and beyond the call of duty to ensure their patients get the care they need.

i would also like to thank our paramedics for transporting patients in very difficult conditions, civil defence staff for helping deliver crucial medication and the defence forces for transferring dialysis patients and medicines, as well as helping our dedicated health staff to get to work safely.

let us all support our committed health care staff by ensuring we keep emergencies for emergencies.

i would also like to take this opportunity to appeal to people to check in on your vulnerable friends, relatives and neighbours, when its safe to do so, to make sure they are well and warm.""",551,449,36,66
"99","defence","consultants are scheduled to be appointed over the coming months to draw up the blueprint for a comprehensive flood defence scheme for key areas of the city.",34,24,7,3
"100","defence","opw minister kevin boxer moran has announced 9million in funding for flood defence works in galway city.",127,98,14,15
"101","defence","ballinasloe is braced for possible rising flood waters  after erecting an elaborate inflatable flood defence near the town centre.",144,90,18,36
"102","defence","a permanent flood defence structure for the city and salthill  along with a better early warning system  has been called for in the wake of tuesdays storm eleanor flood disaster.",110,85,15,10
"103","defence","galway city council has said the army, civil defence, garda and fire services will be on standby for high tide tomorrow morning (thursday).",68,48,11,9
"104","defence","the army has deployed 12 personnel and two vehicles from 1st battalion to galway to assist with flood defences.

#stormeleanor",316,213,48,55
"105","defence","ht: galway 0-5 0-7 monaghan. four consecutive points from the visitors leaves galway trailing by two at the break. monaghan were reduced to 14 men just before the whistle when fintan kelly kicked out at gary o'donnell. scoring chances have been at premium as defences are on top. big 35 needed from the tribesmen. c'mon galway! #galvmon",7,6,0,1
"106","defence","20 mins: galway 0-4 0-2 monaghan. defences are very much on top here at salthill. of the six points scored, only two have been from play; beauties from paul conroy and damien comer. a slow burner would be the apt description so far. c'mon galway! #galvmon",3,3,0,0
"107","defence","statement re resumption of services at galway hospitals following recent severe weather

the  saolta group wishes to advise the public that outpatients will run as normal in university hospital galway, merlin park university hospital and portiuncula university hospital tomorrow, monday 5th of march.

urgent electives will go ahead and patients will be contacted directly to make arrangements. day case surgery will also go ahead. some curtailment of non- urgent elective procedures will be necessary over the coming days and the hospitals will contact patients directly to reschedule their appointments.

we would ask patients to only attend if it is safe for them to travel. if patients are unable to attend we ask that they call the contact number on their appointment letter tomorrow to inform the hospital.

for appointments cancelled last thursday and friday the hospitals will contact patients to reschedule appointments. 

the saolta group would like to acknowledge  staff across the hospitals in the group who went above and beyond to continue patient care and the support of the national ambulance service, the defence forces, the gardai and civil defence in assisting with emergency transportation of patients and staff. 

hospitals have been busy and will continue to be in the coming days, particularly the emergency departments. we would encourage people to consider all options available to them for their healthcare needs and to protect the ed for those most seriously ill.",43,27,5,11
"108","defence","galway city council's severe weather assessment and response team has met each day this week to assess the current and forecasted situation regarding the current snow and ice warnings and other weather related issues.
the coordination group reconvened this evening and received reports. 
there is a status orange warning snow/ice that applies to galway city currently in place and up to 9.00am on saturday, 3rd march. snowfall continues across the city. salting of national, regional and the main routes across the city will take place between 5.00 am and 10.00am on saturday morning. galway city council continues to have an ample supply (and reserve stock) of salt.
city council staff will continue to be deployed as long as it it is safe for them to be outdoors.
we're working closely with cope galway in relation to getting rough sleepers into our cold weather service in the westside. if anyone is aware of rough sleepers who may need a bed, please contact cope at 1800 788887 or 085 8009641 (9pm+)
emergency calls for city council regarding essential services can be made to 091 536400. on-call staff are responding to emergencies as they arise and if they can be deployed safely.
city hall, leisureland and the city museum and recreation centres across the city will remain closed on saturday. druid theatre company's performances of waiting for godot in the town hall theatre at 2pm and 8pm on saturday will go ahead. 
galway city council's advice to motorists, pedestrians and the public in general is to only undertake journeys if absolutely necessary,  no matter how short.
high tides: the opw issued a high tide advisory notice for the period of thurs. 1st mar. to mon. 5th march. galway city council are aware of the current period of very high astronomical spring tides. the highest astronomical tide in this period will occur on saturday morning at 5.50am. the assessment at the moment is that the risk of over-topping in the docks/spanish arch/claddagh area and in salthill is low. city council crews will be on-site on saturday morning from 5am and may close roads should any overtopping occur.
the infrastructure section will monitor tide levels and keep in contact with the harbour master during this period of high astronomical spring tides. the aquadam bund at fishmarket will be partially inflated and roads crews will be on standby (for road closures etc.) in the event of overtopping/flooding due to tides. 
galway city council remains in constant contact with the national emergency coordination group and with other service providers including an grda sochna, civil defence and the fire service locally. the coordination group in galway city council will reconvene on saturday while staff and crews remain on standby to respond to issues as they arise during the day.
members of the public are reminded of the advice regarding unnecessary journeys. caution is advised on footpaths and streets as snow and ice will continue to be present.
frequent information updates are available on galway city council's facebook and twitter @galwaycityco pages.",61,37,4,20
"109","defence","ft: galway 1-13 0-11 mayo. galway secured their second victory over mayo this season with a clinical five point win at pearse stadium. the tribesmen were always in control as they looked threatening in attack and controlled in defence. both sides lost men to red cards with paul conroy and cillian and diarmuid o'connor receiving their marching orders. three wins out of three for galway in the league. we're on the march. c'mon galway!",79,68,7,4
"110","defence","good morning galway. galway city council has secured funding for a major flood defence project for the city. the announcement was made by galway city mayor pearce flannery following an emergency meeting between topw minister, kevin boxer moran, senior city hall executives, and councillors",101,73,20,8
"111","defence","the current forecast for this evenings high tide at 6pm is 4.95 metres. galway city council, fire service, gardai and civil defence will be on site from 5pm to 7pm and will have crews in place to close roads and provide additional sand bags if needed at short notice.
tomorrow morning's tide at 6.00am is forecast at 5.79 metres. as this is above the critical level of 5.6m they will have  staff in attendance from 5am and they will be backed up by the army, civil defence, gardai and fire service. galway city council customer service number is 091 536400.",191,90,26,75
"112","defence","tides breach coastal defences in salthill. video by david blevins, sky.",2191,726,559,906
"113","ophelia","after ex-hurricane ophelia, a bit of rain didnt deter the children from getting out and about. treat the family to a heart-warming weekend of magical fun for the final days of baboro international arts festival for children which runs until this sunday, october 22 around galway. see baboro.ie for more details. 

video: children in high street on their way in the rain and arriving at an taibhdhearc for ""what does red do on a thursday?"" by thalias kompagnos in germany. 

at galway city museum ireland children explore what kind of town theyd like to live in at the planning through time interactive installation with alison maccormaic. 

at nuns island theatre, children attend the colourful ""world images from theatre madam bach in denmark"". 

at galway arts centre on dominick street, pupils from inis mr attend exhibitions by maeve clancy. ""the moon belongs to everyone"" looks at journeys of child migrants and how to feel safe while moving through unknown spaces to a new home. (video: joe o'shaughnessy)
galway 2020 european capital of culture the latin quarter galway",76,57,3,16
"114","ophelia","ex-hurricane #ophelia in salthill (video: joe o'shaughnessy)",271,145,17,109
"115","ophelia","around 100 storm-related posts since we posted the first #ophelia warning for galway on saturday lunchtime. thank you to all the agencies for their co-operation in providing official information to us, and to our facebook community for sharing photos, videos and information to help keep people safe. 
spare a thought for the esb crews who will be working around the clock in atrocious conditions to restore power to 330,000 customers around the country, including around 7,000 in galway, and to emergency and local authority workers who are on duty through the night attempting to get roads reopened.
and rip to those who lost their lives today.",335,319,5,11
"116","ophelia","the latest on road closures from galway county council
#ophelia-",427,188,46,193
"117","ophelia","the aftermath of #ophelia in salthill (video: enda cunningham)",468,231,50,187
"118","ophelia","toft carpark in salthill under water this evening (video: rossa meade)
#ophelia",966,251,166,549
"119","ophelia","flooding at the claddagh (video: joe carroll)
#ophelia",715,265,137,313
"120","ophelia","flooding at spanish arch 
#ophelia
(video: danica gutierrez)",887,333,242,312
"121","ophelia","preparations being finalised in salthill ahead of the brunt of #ophelia",422,279,44,99
"122","ophelia","businesses in salthill prepared for the worst later day. #ophelia",153,97,21,35
"123","ophelia","#ophelia update from met ireann",1002,338,167,497
"124","ophelia","take care today and all relevant local impact of ophelia will be carried here and on galway advertiser twitter and website.",242,202,6,34
"125","christmas","there were 219 people homeless in galway for christmas week including 130 children, with the situation here getting significantly worse in the past year, according to the latest figures released.",75,32,12,31
"126","christmas","it was wetter in galway on christmas eve than anywhere else in the country  but that failed to dampen seasonal spending in the city, as shops reported a sales boom.",63,53,1,9
"127","christmas","the west looks set to be buffeted by a series of atlantic weather systems over the course of the new year  this follows on from galway being the wettest place in the country over the course of christmas eve.",250,144,32,74
"128","christmas","hundreds of people took part in the annual charity christmas day swim in blackrock today, including connacht rugby captain john muldoon. well done to all involved. (video: joe o'shaughnesy)
cope galway galway 2020 european capital of culture",869,601,53,215
"129","christmas","irelands pluckiest bird has pulled it off again  survived the oven at christmas! the life expectancy of your typical turkey is under a year, but trixie the turkey is now looking forward to living through her fifth christmas.",7,7,0,0
"130","christmas","singing by candlelight, refreshments, including mulled wine, festive hot tea, christmas cookies, brownies and westend sausage rolls were provided at the official switching on of galway's westend christmas lights at the small crane.(video: joe o'shaughnessy)",161,121,5,35
"131","christmas","the unveiling of the replica of the pdraic  conaire statue with the backdrop of the christmas market at eyre square, as well as photos from our archive of sean phdraics colourful history in the square, city hall, museum and heading for dublin to be replicated. (video: joe oshaughnessy)",515,347,38,130
"132","christmas","switching on the christmas lights in galway city. (video: joe o'shaughnessy)

galway 2020 european capital of culture galway city business association 56 central restaurant the latin quarter galway east village galway  woodquay galway",739,411,56,272
"133","christmas","more footage of the big wheel at galway christmas market, which got stuck with 20 passengers on board. emergency services attended the scene, and nobody was injured. (video: joe o'shaughnessy).",363,207,70,86
"134","christmas","the big wheel at the christmas market is stuck, with people on board. fire and rescue galway and garda are at the scene. (video: enda cunningham)

http://connachttribune.ie/fire-services-work-rescue-passengers-stuck-big-wheel-440/",2835,914,999,922
"135","christmas","the queue outside the hole in the wall in galway this morning waiting to celebrate christmas day. (video: enda cunningham)",2589,1575,805,209
"136","christmas","this years christmas market will repeat the 2016 changed layout  off the grass in eyre square  after the tender was awarded to the same operator as the past six years.",387,309,61,17
"137","christmas","a local councillor has said that with schools opening this week after the christmas holidays, ""there is understandably concern among parents that children may be at increased risk of catching the flu"".",10,8,0,2
"138","christmas","connacht celebrate with a real christmas cracker at the sportsground with a record win over ulster in an interprovincial- a special one, bloody wonderful said connacht boss keane after ulster rout 44-16 and a superb atmosphere helped by the clan.",99,98,0,1
"139","christmas","a special one, bloody wonderful said connacht boss keane after a rousing display in the galway sportsground where connacht posted a record win in an interprovincial, 44-16 over ulster. congrats connacht, players, management and the clan for a memorable christmas cracker.",134,126,1,7
"140","christmas","congratulations to all the winners of this year's galway advertiser christmas art competition in association with cregal art ltd., kennys bookshop and art gallery and ireland west airport knock
the overall winner was, elisa fietz, age 15 of our lady's college, presentation road, galway. 
well done elisa!",112,100,7,5
"141","christmas","why not rest your feet during your christmas shopping?
fast-casual dining at its best! 
located in the heart of the latin quarter galway.
call into xian street food today - a bite of china.
warning this video contains scenes of delicious and mouthwatering food.",62,51,6,5
"142","christmas","why not rest your feet during your christmas shopping?
fast-casual dining at its best! 
located in the heart of  the latin quarter galway.
call into xian street food today - a bite of china.
warning this video contains scenes of delicious and mouthwatering food.",150,97,11,42
"143","christmas","updated competiton closed
congratulations to our winner niamh ganly
* christmas giveaway *
how would you like your very own garden zip-line? 
zip-lines ireland is giving one lucky follower the chance to nab one of their award-winning lines! 
all you have to do is: like zip-lines ireland, share this post and comment when done. 
this is an amazing gift for all the family, check out the video below!!!
what a prize!!!",782,243,267,272
"144","christmas","with thousands of students celebrating christmas, galway is certainly lively this evening.",337,289,22,26
"145","christmas","eyre square this lunchtime as it gets ready for the christmas market.",1759,1306,352,101
"146","christmas","pointy side up lads, swing her, lock her - way hey, the official galway christmas tree is being installed here at the square.",376,306,44,26
"147","christmas","for a magical experience to a winter wonderland - visit lapland this christmas from ireland west airport knock with sunway holidays.
book with your local travel agent or visit www.sunway.ie",12,11,0,1
"148","christmas","for a magical experience to a winter wonderland - visit lapland this christmas from ireland west airport with sunway holidays.
book with your local travel agent or visit www.sunway.ie",18,17,0,1
